title;rating;ratingLevel;release year;user rating score;ageGroup
Scooby-Doo 2: Monsters Unleashed;PG;some scary action, rude humor and language;2004;82.0;Parental Guidance
The Three Musketeers;G;General Audiences. Suitable for all ages.;2004;70.0;Family
Mickey's Twice Upon a Christmas;G;General Audiences. Suitable for all ages.;2004;70.0;Family
The Pacifier;PG;action violence, language and rude humor;2005;91.0;Parental Guidance
Bee Movie;PG;mild suggestive humor;2007;94.0;Parental Guidance
Kung Fu Panda;PG;sequences of martial arts action;2008;91.0;Parental Guidance
Super Why!;TV-Y;Suitable for all ages.;2015;68.0;Kids
Jessie;TV-G;Suitable for all ages.;2015;88.0;Family
Disney Animation Collection: Vol. 1: Mickey and the Beanstalk;TV-G;Suitable for all ages.;2009;74.0;Family
Lab Rats;TV-Y7;Suitable for children ages 7 and older;2016;85.0;Kids
Pocoyo;TV-Y;Suitable for all ages.;2007;67.0;Kids
Octonauts;TV-Y;Suitable for all ages.;2015;75.5;Kids
Dragons: Race to the Edge;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2017;88.0;Kids
Mother Goose Club;TV-Y;Suitable for all ages.;2016;75.5;Kids
Little Einsteins;TV-Y;Suitable for all ages.;2007;70.0;Kids
Hotel Transylvania 2;PG;some scary images, action and rude humor;2015;93.0;Parental Guidance
Dawn of the Croods;TV-Y7;Suitable for children ages 7 and older;2017;72.0;Kids
Goosebumps;PG;scary and intense creature action and images, and for some rude humor;2015;90.0;Parental Guidance
Kung Fu Panda 3;PG;martial arts action and some mild rude humor;2016;92.0;Parental Guidance
Home: Adventures with Tip & Oh;TV-Y7;Suitable for children ages 7 and older;2017;74.5;Kids
Open Season: Scared Silly;PG;rude humor and some action;2015;72.0;Parental Guidance
The Land Before Time XIV: Journey of the Brave;G;General Audiences. Suitable for all ages.;2016;70.0;Family
Alice Through the Looking Glass;PG;fantasy action/peril and some language;2016;96.0;Parental Guidance
Ask the StoryBots;TV-Y;Suitable for all ages.;2016;75.5;Kids
Goldie & Bear;TV-Y;Suitable for all ages.;2016;77.0;Kids
Little Baby Bum: Nursery Rhyme Friends;TV-Y;Suitable for all ages.;2016;75.5;Kids
Tayo the Little Bus;TV-Y;Suitable for all ages.;2014;75.5;Kids
Antz;PG;moderate adult language and intense action;1998;80.0;Parental Guidance
Chicken Run;G;General Audiences. Suitable for all ages.;2000;80.0;Family
Spy Kids 3: Game Over;PG;action sequences and peril;2003;64.0;Parental Guidance
Annie;PG;adult content and mld violence;1982;68.0;Parental Guidance
Mulan 2;G;General Audiences. Suitable for all ages.;2004;85.0;Family
Lilo & Stitch 2: Stitch Has A Glitch;PG;some mild action;2005;85.0;Parental Guidance
DreamWorks Shrek's Swamp Stories;TV-PG;Parental guidance suggested. May not be suitable for all children.;2008;56.0;Parental Guidance
Beverly Hills Chihuahua 3: Viva La Fiesta!;G;General Audiences. Suitable for all ages.;2012;70.0;Family
DreamWorks Spooky Stories: Volume 2;TV-PG;Parental guidance suggested. May not be suitable for all children.;2011;88.0;Parental Guidance
The Magic School Bus;TV-Y;Suitable for all ages.;1997;81.0;Kids
Sammy 2;TV-PG;Parental guidance suggested. May not be suitable for all children.;2012;88.0;Parental Guidance
Sofia the First;TV-Y;Suitable for all ages.;2015;82.0;Kids
Barbie Life in the Dreamhouse;TV-G;Suitable for all ages.;2012;85.0;Family
Paddington;PG;mild action and rude humor;2014;70.0;Parental Guidance
Larva;TV-G;Suitable for all ages.;2015;74.0;Family
Sid the Science Kid;TV-Y;Suitable for all ages.;2008;75.5;Kids
Minions;PG;action and rude humor;2015;96.0;Parental Guidance
The Little Prince;PG;mild thematic elements;2015;71.0;Parental Guidance
Word Party;TV-Y;Suitable for all ages.;2016;75.5;Kids
Cool Runnings;PG;Parental guidance suggested. May not be suitable for children.;1993;81.0;Parental Guidance
Homeward Bound: The Incredible Journey;G;General Audiences. Suitable for all ages.;1993;96.0;Family
Anastasia;G;General Audiences. Suitable for all ages.;1997;93.0;Family
Missione Hamburger;PG;language, some comic violence and mild sex-related humor;1997;75.0;Parental Guidance
Curious George;G;General Audiences. Suitable for all ages.;2006;55.0;Family
Secret of the Wings;G;General Audiences. Suitable for all ages.;2012;65.0;Family
Clifford the Big Red Dog;TV-Y;Suitable for all ages.;2002;75.5;Kids
Walt Disney Animation Studios Short Films Collection;TV-G;Suitable for all ages.;2015;84.0;Family
Bunk'd;TV-G;Suitable for all ages.;2016;61.0;Family
The BFG;PG;for action/peril, some scary moments and brief rude humor;2016;97.0;Parental Guidance
The Real Ghostbusters;TV-Y7;Suitable for children ages 7 and older;1990;65.0;Kids
Babe: Pig in the City;G;General Audiences. Suitable for all ages.;1998;70.0;Family
The Prince of Egypt;PG;intense scenes dealing with strong content;1998;81.0;Parental Guidance
Paulie;PG;Parental guidance suggested. May not be suitable for children.;1998;86.0;Parental Guidance
The Road to El Dorado;PG;mild thematic material and language;2000;91.0;Parental Guidance
Fantasia 2000;G;General Audiences. Suitable for all ages.;2000;70.0;Family
Pocahontas II: Journey to a New World;TV-G;Suitable for all ages.;1998;64.0;Family
Fantasia;G;General Audiences. Suitable for all ages.;1940;61.0;Family
An American Tail;G;General Audiences. Suitable for all ages.;1986;67.0;Family
Pooh's Grand Adventure: The Search for Christopher Robin;G;General Audiences. Suitable for all ages.;1997;70.0;Family
FernGully 2: The Magical Rescue;G;General Audiences. Suitable for all ages.;1998;70.0;Family
Balto 2: Wolf Quest;G;General Audiences. Suitable for all ages.;2001;70.0;Family
Balto;G;General Audiences. Suitable for all ages.;1995;64.0;Family
Back to the Secret Garden;G;General Audiences. Suitable for all ages.;2002;70.0;Family
The Brave Little Toaster Goes to Mars;G;General Audiences. Suitable for all ages.;1998;70.0;Family
The Brave Little Toaster to the Rescue;G;General Audiences. Suitable for all ages.;1997;70.0;Family
An American Tail: The Mystery of the Night Monster;G;General Audiences. Suitable for all ages.;1999;70.0;Family
An American Tail: Fievel Goes West;G;General Audiences. Suitable for all ages.;1991;70.0;Family
The Last Unicorn;G;General Audiences. Suitable for all ages.;1982;70.0;Family
Brother Bear 2;G;General Audiences. Suitable for all ages.;2006;57.0;Family
The Fox and the Hound 2;G;General Audiences. Suitable for all ages.;2006;70.0;Family
Jetsons: The Movie;G;General Audiences. Suitable for all ages.;1990;70.0;Family
A Monster in Paris;PG;some action violence involving gunplay, and mild rude humor;2011;86.0;Parental Guidance
The Gruffalo;TV-Y;Suitable for all ages.;2009;75.5;Kids
DreamWorks How to Train Your Dragon Legends;TV-PG;Parental guidance suggested. May not be suitable for all children.;2011;88.0;Parental Guidance
Ernest & Celestine;PG;some scary moments;2012;86.0;Parental Guidance
Animaniacs;TV-Y7;Suitable for children ages 7 and older;1997;72.0;Kids
Disney Animation Collection: Vol. 4: The Tortoise and the Hare;TV-G;Suitable for all ages.;2009;74.0;Family
PopPixie;TV-G;Suitable for all ages.;2011;74.0;Family
Jack and the Cuckoo-Clock Heart;PG;scary images, suggestive material, some language and smoking;2013;86.0;Parental Guidance
The Pirate Fairy;G;General Audiences. Suitable for all ages.;2014;57.0;Family
Axel: The Biggest Little Hero;PG;some scary images, perilous action sequences and mild rude humor;2013;86.0;Parental Guidance
The Adventures of Figaro Pho;TV-Y7;Suitable for children ages 7 and older;2015;74.5;Kids
The Boxcar Children;G;General Audiences. Suitable for all ages.;2014;70.0;Family
Pet Pals in Windland;TV-G;Suitable for all ages.;2014;74.0;Family
Alpha and Omega: Dino Digs;TV-G;Suitable for all ages.;2016;74.0;Family
Quackerz;PG;rude and suggestive humor, and some action;2016;86.0;Parental Guidance
Hatched;TV-Y7;Suitable for children ages 7 and older;2013;74.5;Kids
Blinky Bill: The Movie;PG;some rude humor;2015;86.0;Parental Guidance
FernGully: The Last Rainforest;G;General Audiences. Suitable for all ages.;1992;70.0;Family
The Lizzie McGuire Movie;PG;mild thematic elements;2003;86.0;Parental Guidance
Recess: Taking the Fifth Grade;G;General Audiences. Suitable for all ages.;2003;70.0;Family
The Very Hungry Caterpillar and Other Stories;TV-Y;Suitable for all ages.;1993;75.5;Kids
The Hero of Color City;G;General Audiences. Suitable for all ages.;2014;70.0;Family
The Little Engine That Could;G;General Audiences. Suitable for all ages.;2011;70.0;Family
Delhi Safari;PG;violence and menacing action, rude humor, suggestive content and thematic elements;2012;86.0;Parental Guidance
Pound Puppies;TV-Y;Suitable for all ages.;2013;75.5;Kids
Monster Math Squad;TV-G;Suitable for all ages.;2012;74.0;Family
Care Bears: Welcome to Care-a-Lot;TV-Y;Suitable for all ages.;2012;75.5;Kids
Clifford's Puppy Days;TV-Y;Suitable for all ages.;2003;75.5;Kids
Dinosaur King;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2008;72.0;Kids
Ribbit;PG;some peril;2014;86.0;Parental Guidance
Rooster Doodle-doo;TV-G;Suitable for all ages.;2014;74.0;Family
My Animal Friends;TV-Y;Suitable for all ages.;2013;75.5;Kids
Worms;PG;Parental guidance suggested. May not be suitable for children.;2013;86.0;Parental Guidance
Puffin Rock;TV-Y;Suitable for all ages.;2016;75.5;Kids
The Mr. Peabody and Sherman Show;TV-Y7;Suitable for children ages 7 and older;2017;74.5;Kids
Zoobabu;TV-Y;Suitable for all ages.;2010;75.5;Kids
Gon;TV-G;Suitable for all ages.;2013;74.0;Family
Sid the Science Kid: The Movie;TV-Y;Suitable for all ages.;2012;75.5;Kids
LEGO Jurassic World: The Indominus Escape;TV-Y7;Suitable for children ages 7 and older;2016;74.5;Kids
Harry and the Hendersons;PG;Parental guidance suggested. May not be suitable for children.;1987;58.0;Parental Guidance
Cats & Dogs;PG;animal action and humor;2001;86.0;Parental Guidance
Atlantis: The Lost Empire;PG;action violence;2001;96.0;Parental Guidance
Tarzan & Jane;G;General Audiences. Suitable for all ages.;2002;70.0;Family
Atlantis: Milo's Return;G;General Audiences. Suitable for all ages.;2003;79.0;Family
Batched;G;General Audiences. Suitable for all ages.;2000;70.0;Family
Winnie the Pooh: Springtime with Roo;G;General Audiences. Suitable for all ages.;2004;70.0;Family
Pooh's Heffalump Movie;G;General Audiences. Suitable for all ages.;2005;70.0;Family
Kronk's New Groove;G;General Audiences. Suitable for all ages.;2005;70.0;Family
Corpse Bride;PG;some scary images and action, and brief mild language;2005;91.0;Parental Guidance
Disney Animation Collection: Vol. 2: Three Little Pigs;TV-G;Suitable for all ages.;2009;74.0;Family
Underdogs;PG;Parental guidance suggested. May not be suitable for children.;2013;86.0;Parental Guidance
Yellowbird;PG;Parental guidance suggested. May not be suitable for children.;2014;86.0;Parental Guidance
Mr. Magoo;PG;mild language and action sequences;1997;86.0;Parental Guidance
Air Bud: World Pup;G;General Audiences. Suitable for all ages.;2000;70.0;Family
Baby's Day Out;PG;mild language and comic action;1994;71.0;Parental Guidance
Blank Check;PG;Parental guidance suggested. May not be suitable for children.;1994;93.0;Parental Guidance
Heavyweights;PG;some rude language and pranks;1995;74.0;Parental Guidance
Inspector Gadget 2;G;General Audiences. Suitable for all ages.;2003;70.0;Family
Air Bud: Spikes Back;G;General Audiences. Suitable for all ages.;2003;70.0;Family
D2: The Mighty Ducks;PG;some mild language and rough hockey action;1994;70.0;Parental Guidance
Honey, I Shrunk the Kids;PG;Parental guidance suggested. May not be suitable for children.;1989;80.0;Parental Guidance
Air Buddies;PG;some mild, rude humor;2006;86.0;Parental Guidance
Dr. Dolittle: Tail to the Chief;PG;brief mild language and some rude behavior;2008;86.0;Parental Guidance
Flicka 2;PG;some reckless behavior;2010;86.0;Parental Guidance
H2O: Just Add Water;TV-PG;Parental guidance suggested. May not be suitable for all children.;2009;74.0;Parental Guidance
Dolphin Tale;PG;some mild thematic elements;2011;86.0;Parental Guidance
Step Dogs;TV-PG;Parental guidance suggested. May not be suitable for all children.;2013;88.0;Parental Guidance
Mia and Me;TV-Y;Suitable for all ages.;2015;75.5;Kids
Russell Madness;PG;some rude humor and sports action;2015;86.0;Parental Guidance
Wiener Dog Internationals;G;General Audiences. Suitable for all ages.;2015;70.0;Family
Pup Star;G;General Audiences. Suitable for all ages.;2016;70.0;Family
Precious Puppies;TV-G;Suitable for all ages.;2003;74.0;Family
Beary Tales;TV-G;Suitable for all ages.;2013;74.0;Family
