title;rating_x;ratingLevel;release year;user rating score;ageGroup;director;cast;country;date_added;release_year_x;duration;listed_in;imdb_score;imdb_votes;budget;genres;popularity;production_companies;release_date;revenue;runtime_y;type
jack and the cuckoo-clock heart;PG;scary images, suggestive material, some language and smoking;2013;;Parental Guidance;Mathias Malzieu, St├⌐phane Berla;Orlando Seale, Samantha Barks, Harry Sadeghi, Stephane Cornicard, Jessie Buckley, Sophia Ellis, Barbara Scaff, Michelle Fairley, Richard Ridings, Howard Samuels;France, Belgium;February 8, 2017;2013.0;93 min;Children & Family Movies, Music & Musicals;;;33;['Animation', 'Romance', 'Adventure', 'Drama', 'Fantasy'];6.0457;['EuropaCorp', 'France 3 Cinema', 'Duran'];2013-11-17;0.0;94.0;Movie
the pirate fairy;G;General Audiences. Suitable for all ages.;2014;57.0;Family;Peggy Holmes;Mae Whitman, Christina Hendricks, Tom Hiddleston, Lucy Liu, Raven-Symon├⌐, Megan Hilty, Pamela Adlon, Angela Bartys, Jim Cummings, Carlos Ponce, Mick Wingert, Kevin Michael Richardson, Jeff Bennett, Rob Paulsen, Grey DeLisle, Kari Wahlgren, Jane Horrocks, Jesse McCartney, Anjelica Huston;United States;June 15, 2014;2014.0;78 min;Children & Family Movies;;;;;;;;;;Movie
axel: the biggest little hero;PG;some scary images, perilous action sequences and mild rude humor;2013;;Parental Guidance;;;;;;;;;;;;;;;;;
the adventures of figaro pho;TV-Y7;Suitable for children ages 7 and older;2015;;Kids;;Luke Jurevicius, Craig Behenna, Charlotte Hamlyn, Stavroula Mountzouris, Aletheia Burney;Australia;;2015.0;2 Seasons;Kids' TV, TV Comedies;;;;;;;;;;TV Show
the boxcar children;G;General Audiences. Suitable for all ages.;2014;;Family;;;;;;;;;;5;['Family', 'Animation', 'Adventure'];0.929799;['Village Roadshow Pictures', 'Warner Bros.', 'Hammerhead Productions'];2014-08-05;0.0;86.0;
pet pals in windland;TV-G;Suitable for all ages.;2014;;Family;;;;;;;;;;;;;;;;;
alpha and omega: dino digs;TV-G;Suitable for all ages.;2016;;Family;;;;;;;;;;;;;;;;;
quackerz;PG;rude and suggestive humor, and some action;2016;;Parental Guidance;;;;;;;;;;;;;;;;;
hatched;TV-Y7;Suitable for children ages 7 and older;2013;;Kids;;;;;;;;;;;;;;;;;
blinky bill: the movie;PG;some rude humor;2015;;Parental Guidance;Deane Taylor;Ryan Kwanten, Rufus Sewell, Toni Collette, Robin McLeavy, David Wenham, Barry Humphries, Richard Roxburgh, Deborah Mailman, Barry Otto;Australia, United States;February 8, 2017;2015.0;91 min;Children & Family Movies;;;;;;;;;;Movie
ferngully: the last rainforest;G;General Audiences. Suitable for all ages.;1992;70.0;Family;;;;;;;;;;0;['Fantasy', 'Animation', 'Science Fiction', 'Family'];7.477944;['Twentieth Century Fox Film Corporation', 'Kroyer Films', 'Youngheart Productions', 'FAI Films'];1992-04-10;32710894.0;76.0;
the lizzie mcguire movie;PG;mild thematic elements;2003;;Parental Guidance;;;;;;;;;;17000000;['Family', 'Comedy'];6.730857;['Walt Disney Pictures', 'Teen Life Productions'];2003-04-25;55534455.0;94.0;
recess: taking the fifth grade;G;General Audiences. Suitable for all ages.;2003;;Family;;;;;;;;;;;;;;;;;
the very hungry caterpillar and other stories;TV-Y;Suitable for all ages.;1993;;Kids;;;;;;;;;;;;;;;;;
the hero of color city;G;General Audiences. Suitable for all ages.;2014;;Family;;;;;;;;;;0;['Animation'];1.066926;['Exodus Film Group'];2014-10-03;0.0;77.0;
the little engine that could;G;General Audiences. Suitable for all ages.;2011;;Family;;;;;;;;;;0;['Action', 'Adventure', 'Family'];0.000124;['Dave Edwards Studio'];1991-01-01;0.0;30.0;
delhi safari;PG;violence and menacing action, rude humor, suggestive content and thematic elements;2012;;Parental Guidance;;;;;;;;;;0;['Animation', 'Comedy', 'Family', 'Foreign'];1.354611;[];2012-10-19;0.0;90.0;
pound puppies;TV-Y;Suitable for all ages.;2013;;Kids;;;;;;;;;;;;;;;;;
monster math squad;TV-G;Suitable for all ages.;2012;;Family;;;;;;;;;;;;;;;;;
care bears: welcome to care-a-lot;TV-Y;Suitable for all ages.;2012;;Kids;;David Lodge, Patty Mattson, Doug Erholtz, Stephanie Sheh, Nayo Wallace, Michael Sinterniklaas, Michaela Dean;United States;August 2, 2019;2012.0;1 Season;Kids' TV;;;;;;;;;;TV Show
clifford's puppy days;TV-Y;Suitable for all ages.;2003;;Kids;;;;;;;;;;;;;;;;;
dinosaur king;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2008;;Kids;;Megumi Matsumoto, Matsuri Mizuguchi, Tomoko Kobashi, Asuka Tanii, Seiko Tamura, Veronica Taylor, Sebastian Arcelus, Kether Donohue, Rachael Lillis, Madeleine Blaustein;Japan;;2008.0;2 Seasons;Anime Series, Kids' TV;5.6;720.0;;;;;;;;TV Show
ribbit;PG;some peril;2014;;Parental Guidance;;;;;;;;;;;;;;;;;
rooster doodle-doo;TV-G;Suitable for all ages.;2014;;Family;;;;;;;;;;;;;;;;;
my animal friends;TV-Y;Suitable for all ages.;2013;;Kids;;;;;;;;;;;;;;;;;
worms;PG;Parental guidance suggested. May not be suitable for children.;2013;;Parental Guidance;;;;;;;;;;;;;;;;;
puffin rock;TV-Y;Suitable for all ages.;2016;;Kids;;Chris O'Dowd, Kate McCafferty, Sally McDaid, Geraldine Cole, Brian McMonagle, Darragh Gargan;Ireland;;2016.0;2 Seasons;Kids' TV;8.699999999999998;891.0;;;;;;;;TV Show
the mr. peabody and sherman show;TV-Y7;Suitable for children ages 7 and older;2017;;Kids;;Chris Parnell, Max Charles, Dieter Jansen, Da'Vine Joy Randolph;United States;;2017.0;4 Seasons;Kids' TV, TV Comedies;;;;;;;;;;TV Show
zoobabu;TV-Y;Suitable for all ages.;2010;;Kids;;;;;;;;;;;;;;;;;
gon;TV-G;Suitable for all ages.;2013;;Family;;;;;;;;;;;;;;;;;
sid the science kid: the movie;TV-Y;Suitable for all ages.;2012;;Kids;;;;;;;;;;;;;;;;;
lego jurassic world: the indominus escape;TV-Y7;Suitable for children ages 7 and older;2016;;Kids;Michael D. Black;A.J. LoCascio, Sendhil Ramamurthy, Fred Tatasciore, Jake Johnson, Lauren Lapkus, Zachary Levi, BD Wong, David Gunning;United States;October 4, 2016;2016.0;25 min;Children & Family Movies, Comedies;;;;;;;;;;Movie
harry and the hendersons;PG;Parental guidance suggested. May not be suitable for children.;1987;58.0;Parental Guidance;;;;;;;;;;0;['Comedy', 'Family', 'Fantasy'];9.296024;['Universal Pictures', 'Amblin Entertainment'];1987-06-05;49998613.0;110.0;
cats & dogs;PG;animal action and humor;2001;;Parental Guidance;;;;;;;;;;60000000;['Comedy', 'Family'];8.142251;['Village Roadshow Pictures', 'NPV Entertainment', 'Mad Chance', 'Zide-Perry Productions', 'Warner Bros.', 'BenderSpink'];2001-07-04;93375151.0;87.0;
atlantis: the lost empire;PG;action violence;2001;96.0;Parental Guidance;;;;;;;;;;120000000;['Animation', 'Family', 'Adventure', 'Science Fiction'];10.901602;['Walt Disney Pictures', 'Walt Disney Feature Animation'];2001-06-02;186053725.0;95.0;
tarzan & jane;G;General Audiences. Suitable for all ages.;2002;;Family;;;;;;;;;;0;['Animation', 'Family'];6.237055;['DisneyToon Studios', 'Disney Television Animation'];2002-06-24;0.0;75.0;
atlantis: milo's return;G;General Audiences. Suitable for all ages.;2003;79.0;Family;;;;;;;;;;0;['Fantasy', 'Animation', 'Science Fiction', 'Family', 'Action'];7.751536;['Walt Disney Pictures'];2003-02-25;0.0;70.0;
batched;G;General Audiences. Suitable for all ages.;2000;;Family;;;;;;;;;;;;;;;;;
winnie the pooh: springtime with roo;G;General Audiences. Suitable for all ages.;2004;;Family;;;;;;;;;;;;;;;;;
pooh's heffalump movie;G;General Audiences. Suitable for all ages.;2005;;Family;;;;;;;;;;0;['Animation', 'Family'];10.096263;['Walt Disney Pictures'];2005-02-11;0.0;68.0;
kronk's new groove;G;General Audiences. Suitable for all ages.;2005;;Family;;;;;;;;;;0;['Animation', 'Comedy', 'Family'];7.680092;['Walt Disney Pictures', 'Toon City'];2005-12-05;0.0;72.0;
corpse bride;PG;some scary images and action, and brief mild language;2005;91.0;Parental Guidance;;;;;;;;7.3;265023.0;40000000;['Romance', 'Fantasy', 'Animation', 'Music'];12.920032;['Warner Bros.', 'Tim Burton Productions', 'Laika Entertainment', 'Patalex Productions'];2005-09-09;117195061.0;77.0;MOVIE
disney animation collection: vol. 2: three little pigs;TV-G;Suitable for all ages.;2009;;Family;;;;;;;;;;;;;;;;;
underdogs;PG;Parental guidance suggested. May not be suitable for children.;2013;;Parental Guidance;;;;;;;;6.5;9535.0;22000000;['Animation', 'Adventure', 'Romance'];14.347931;['100 Bares', 'Ministerio de Cultura', 'Instituto de Cr├⌐dito Oficial (ICO)', 'Televisi├│n Federal (Telefe)', '369 Productions', 'Catmandu Branded Entertainment', 'JEMPSA', 'Plural - Jempsa', 'Prana Animation Studios'];2013-07-18;24000000.0;106.0;MOVIE
yellowbird;PG;Parental guidance suggested. May not be suitable for children.;2014;;Parental Guidance;Christian De Vita;Dakota Fanning, Seth Green, Christine Baranski, Zachary Gordon, Richard Kind, Danny Glover, Elliott Gould, Ryan Lee, Jim Rash, Yvette Nicole Brown, Kostja Ullmann;France, Belgium;August 5, 2015;2014.0;90 min;Children & Family Movies, Comedies;;;0;['Animation', 'Family', 'Comedy'];2.308762;['Haut et Court', 'Panache Productions', 'Compagnie Fran├ºaise Cin├⌐matographique (CFC)', 'TeamTO'];2014-11-06;0.0;90.0;Movie
mr. magoo;PG;mild language and action sequences;1997;;Parental Guidance;;;;;;;;;;30000000;['Comedy', 'Family'];9.474269;['Walt Disney Pictures'];1997-12-25;0.0;84.0;
air bud: world pup;G;General Audiences. Suitable for all ages.;2000;;Family;;;;;;;;;;;;;;;;;
baby's day out;PG;mild language and comic action;1994;71.0;Parental Guidance;;;;;;;;;;50000000;['Action', 'Adventure', 'Comedy', 'Family'];12.508518;['Twentieth Century Fox Film Corporation'];1994-07-01;16671505.0;99.0;
blank check;PG;Parental guidance suggested. May not be suitable for children.;1994;93.0;Parental Guidance;;;;;;;;;;13000000;['Comedy', 'Family'];12.960346;['Walt Disney Pictures'];1994-02-11;0.0;93.0;
heavyweights;PG;some rude language and pranks;1995;74.0;Parental Guidance;;;;;;;;;;0;['Comedy', 'Family', 'Drama'];9.546707;['Walt Disney Pictures', 'Caravan Pictures'];1995-02-17;17689177.0;100.0;
heavyweights;PG;some rude language and pranks;1995;74.0;Parental Guidance;;;;;;;;;;0;['Comedy'];0.874698;[];2007-01-18;0.0;94.0;
inspector gadget 2;G;General Audiences. Suitable for all ages.;2003;;Family;;;;;;;;;;12000000;['Action', 'Adventure', 'Comedy', 'Family'];10.923985;['Walt Disney Pictures', 'Fountain Films'];2003-03-11;0.0;89.0;
air bud: spikes back;G;General Audiences. Suitable for all ages.;2003;;Family;;;;;;;;;;5000000;['Comedy', 'Family'];1.757851;['Walt Disney Studios HE'];2003-07-01;0.0;87.0;
d2: the mighty ducks;PG;some mild language and rough hockey action;1994;70.0;Parental Guidance;;;;;;;;;;0;['Action', 'Comedy', 'Drama', 'Family'];11.117131;['Walt Disney'];1994-03-25;45610410.0;106.0;
honey, i shrunk the kids;PG;Parental guidance suggested. May not be suitable for children.;1989;80.0;Parental Guidance;;;;;;;;;;32000000;['Adventure', 'Comedy', 'Family', 'Science Fiction'];12.358786;['Buena Vista'];1989-06-22;222724172.0;93.0;
air buddies;PG;some mild, rude humor;2006;;Parental Guidance;;;;;;;;;;9000000;['Adventure', 'Comedy', 'Family'];7.775902;[];2006-12-12;0.0;80.0;
dr. dolittle: tail to the chief;PG;brief mild language and some rude behavior;2008;;Parental Guidance;;;;;;;;;;0;['Comedy', 'Family', 'Fantasy'];2.021759;[];2008-03-04;0.0;85.0;
flicka 2;PG;some reckless behavior;2010;;Parental Guidance;;;;;;;;;;0;['Adventure'];1.669915;['20th Century Fox Film Corporation'];2010-05-04;0.0;96.0;
h2o: just add water;TV-PG;Parental guidance suggested. May not be suitable for all children.;2009;74.0;Parental Guidance;;Cariba Heine, Phoebe Tonkin, Angus McLaren, Burgess Abernethy, Claire Holt, Alan David Lee, Cleo Massey, Jamie Timony;Australia;;2009.0;3 Seasons;Kids' TV, TV Dramas;7.2;14782.0;;;;;;;;TV Show
dolphin tale;PG;some mild thematic elements;2011;;Parental Guidance;;;;;;;;;;37000000;['Drama', 'Family'];6.695229;['Alcon Entertainment', 'Arc Productions'];2011-09-23;95404397.0;113.0;
step dogs;TV-PG;Parental guidance suggested. May not be suitable for all children.;2013;;Parental Guidance;;;;;;;;;;;;;;;;;
mia and me;TV-Y;Suitable for all ages.;2015;;Kids;;Rosabell Laurenti Sellers, Adrian Moore, Saphia Stoney, Josephine Benini, Andrew Craig, Tajja Isen, Rod Wilson, Linda Ballantyne, Jonathan Wilson, Elizabeth Hanna, Norma Dell'Agnese;Netherlands, Germany, Italy, Canada;;2015.0;2 Seasons;Kids' TV;;;;;;;;;;TV Show
russell madness;PG;some rude humor and sports action;2015;;Parental Guidance;Robert Vince;David Milchard, John Ratzenberger, Will Sasso, Mason Vale Cotton, John Hennigan, Sean Giambrone, Charles Robinson, Mckenna Grace, Kate Reinders, Fred Willard;United States;May 10, 2015;2015.0;93 min;Children & Family Movies, Comedies, Sports Movies;;;0;['Comedy'];0.65691;['Air Bud Entertainment'];2015-02-21;0.0;92.0;Movie
wiener dog internationals;G;General Audiences. Suitable for all ages.;2015;;Family;;;;;;;;;;;;;;;;;
pup star;G;General Audiences. Suitable for all ages.;2016;;Family;Robert Vince;Makenzie Moss, Jed Rees, David DeLuise, Carla Jimenez, Tom Everett Scott, Diedrich Bader, George Newbern, Bonnie Somerville, John Ratzenberger;Canada;October 29, 2016;2016.0;92 min;Children & Family Movies, Comedies;;;;;;;;;;Movie
precious puppies;TV-G;Suitable for all ages.;2003;;Family;;;;;;;;;;;;;;;;;
beary tales;TV-G;Suitable for all ages.;2013;;Family;;;United States;March 1, 2017;2013.0;52 min;Children & Family Movies, Documentaries, International Movies;;;;;;;;;;Movie
